PARTEI,WAHLKREIS,'29.09.19','15.10.17'
ÖVP,Hörbich,148,137
ÖVP,Hofkirchen im Mühlkreis,367,351
ÖVP,Neumarkt im Hausruckkreis,222,214
ÖVP,Rottenbach,182,197
ÖVP,Wendling,204,214
ÖVP,Micheldorf in Oberösterreich,941,841
ÖVP,St.Pankraz,50,39
ÖVP,Vorderstoder,219,169
ÖVP,Linz-Land,25574,23078
ÖVP,Ansfelden,1604,1412
ÖVP,Enns,1521,1330
ÖVP,Hörsching,995,854
ÖVP,St.Willibald,306,242
ÖVP,Wernstein am Inn,317,337
ÖVP,Adlwang,463,429
ÖVP,Aschach an der Steyr,460,480
ÖVP,Oberhofen am Irrsee,424,382
ÖVP,Pöndorf,589,508
ÖVP,Redleiten,94,81
ÖVP,Steinbach am Attersee,216,194
ÖVP,Unterach am Attersee,292,273
ÖVP,Engerwitzdorf,1706,1588
ÖVP,Gallneukirchen,965,951
ÖVP,Walding,840,789
ÖVP,Schwarzenberg am Böhmerwald,185,148
ÖVP,Altschwendt,184,173
ÖVP,Andorf,1157,992
ÖVP,Engelhartszell,178,164
ÖVP,Raab,462,448
ÖVP,Holzhausen,179,140
ÖVP,Sipbachzell,490,419
ÖVP,St.Marienkirchen an d. Polsenz,472,430
ÖVP,Linz,42299,40516
ÖVP,Ostermiething,752,633
ÖVP,Pfaffstätt,246,181
ÖVP,Haibach ob der Donau,337,300
ÖVP,Prambachkirchen,658,612
ÖVP,Sandl,325,286
ÖVP,Bad Zell,780,711
ÖVP,Linz und Umgebung,49869,46210
ÖVP,Traunviertel,53475,47753
ÖVP,Helpfau-Uttendorf,631,553
ÖVP,Allerheiligen im Mühlkreis,328,305
ÖVP,Dimbach,255,255
ÖVP,Grein,564,538
ÖVP,Hohenzell,536,509
ÖVP,Pramet,237,221
ÖVP,Tumeltsham,349,335
ÖVP,Arnreit,376,369
ÖVP,Eschenau im Hausruckkreis,385,331
ÖVP,Meggenhofen,361,355
ÖVP,Peuerbach,1107,430
ÖVP,Edlbach,161,147
ÖVP,Kremsmünster,1226,1190
ÖVP,Ried im Traunkreis,670,601
ÖVP,Roßleithen,397,331
ÖVP,Steinbach an der Steyr,535,503
ÖVP,Kematen an der Krems,511,482
ÖVP,Kirchberg-Thening,389,355
ÖVP,Suben,251,238
ÖVP,Bad Hall,862,818
ÖVP,Berg im Attergau,347,301
ÖVP,Fornach,312,295
ÖVP,Mondsee,585,542
ÖVP,Neukirchen an der Vöckla,622,558
ÖVP,Niederthalheim,256,251
ÖVP,Ottnang am Hausruck,635,649
ÖVP,Pitzenberg,130,124
ÖVP,Schwanenstadt,547,517
ÖVP,Laussa,299,305
ÖVP,Reichraming,243,214
ÖVP,Feldkirchen an der Donau,1089,999
ÖVP,Hellmonsödt,471,431
ÖVP,Oberneukirchen,761,752
ÖVP,Zwettl an der Rodl,377,408
ÖVP,Niederkappel,324,306
ÖVP,Pfarrkirchen im Mühlkreis,478,456
ÖVP,Rohrbach-Berg,1207,1143
ÖVP,Kopfing im Innkreis,512,466
ÖVP,Weyregg am Attersee,313,302
ÖVP,Wolfsegg am Hausruck,344,300
ÖVP,Zell am Moos,373,361
ÖVP,Bad Wimsbach-Neydharting,583,529
ÖVP,Eberstalzell,638,565
ÖVP,Neukirchen bei Lambach,204,202
ÖVP,Pennewang,253,248
ÖVP,Perwang am Grabensee,263,234
ÖVP,Polling im Innkreis,221,185
ÖVP,St.Radegund,217,215
ÖVP,Treubach,181,172
ÖVP,Ueberackern,130,137
ÖVP,Weng im Innkreis,296,293
ÖVP,Alkoven,986,834
ÖVP,Scharten,375,361
ÖVP,Stroheim,495,422
ÖVP,Freistadt,20054,18003
ÖVP,Grünbach,418,418
ÖVP,Hirschbach im Mühlkreis,301,311
ÖVP,Schönau im Mühlkreis,649,539
ÖVP,Weitersfelden,308,303
ÖVP,Oberösterreich,310611,280595
ÖVP,Haigermoos,174,155
ÖVP,Maria Schmolln,407,347
ÖVP,Leonding,3713,3553
ÖVP,Piberbach,352,333
ÖVP,St.Georgen an der Gusen,662,589
ÖVP,Saxen,373,340
ÖVP,Eitzing,191,167
ÖVP,Obernberg am Inn,207,159
ÖVP,Pattigham,212,215
ÖVP,Senftenbach,157,151
ÖVP,Utzenaich,348,348
ÖVP,Haslach an der Mühl,527,510
ÖVP,Julbach,365,338
ÖVP,Bad Goisern am Hallstättersee,1023,811
ÖVP,Kirchham,567,531
ÖVP,Grieskirchen,17319,16109
ÖVP,Gaspoltshofen,594,582
ÖVP,Haag am Hausruck,407,418
ÖVP,Waizenkirchen,938,879
ÖVP,Rosenau am Hengstpaß,102,97
ÖVP,Steinbach am Ziehberg,206,195
